0 1.24990165e-05
1 0.15335703
2 0.30957526
3 0.48280868
4 0.66353583
5 0.6904977
6 0.73309517
7 0.77015233
8 0.8061558
9 0.870709
10 0.8909681
11 0.8942032
12 0.9051023
13 0.906061
14 0.9456918
15 0.96056527
16 0.9607969
17 0.9759121
18 0.9984159
19 1.0379404
20 1.0405221
21 1.0405817
22 1.0443184
23 1.0495431
24 1.0527369
25 1.0756733
26 1.081928
27 1.1053771
28 1.1167207
29 1.182315
30 1.1874126
31 1.187665
32 1.19089
33 1.1919631
34 1.2117095
35 1.2206144
36 1.2206949
37 1.2336451
38 1.2462167
39 1.2505946
40 1.2515826
41 1.2619902
42 1.2623966
43 1.3061656
44 1.313172
45 1.3289057
46 1.3349149
47 1.3371761
48 1.364332
49 1.371555
50 1.3807544
51 1.3832424
52 1.3895445
53 1.4246032
54 1.4355073
55 1.4400895
56 1.4437138
57 1.4576001
58 1.4685403
59 1.498083
60 1.5305332
61 1.5309644
62 1.5650896
63 1.5762459
64 1.5847028
65 1.6175582
66 1.6220857
67 1.6230104
68 1.6266603
69 1.6684997
70 1.7054788
71 1.7329606
72 1.7437178
73 1.7439857
74 1.745147
75 1.7612333
76 1.7655966
77 1.7668828
78 1.8274808
79 1.8316288
80 1.917416
81 1.9761373
82 1.9993011
83 2.000736
84 2.0030637
85 2.0415726
86 2.0425472
87 2.272425
88 2.3524823
89 2.481404
